length	mean	sd	attribute
50	13.3158210324	1.54425056809828	local_average_energy
75	12.0120258776	1.25695671265227	local_average_energy
100	10.9497144716	1.14666321419676	local_average_energy
150	9.31188751653333	0.950950473428759	local_average_energy
200	8.022750611767	0.800115962596489	local_average_energy
300	6.52805430891733	0.687201951167608	local_average_energy
500	5.9917882742412	0.494875580824952	local_average_energy
600	6.55282958456333	0.476496525073745	local_average_energy
800	8.4217253371125	0.488176542387667	local_average_energy
1000	10.63625800194	0.519310521336893	local_average_energy
1500	16.2458024065333	0.663779464936366	local_average_energy
2000	22.0449956159	0.718972651621097	local_average_energy
2500	27.74402855736	0.829418082683967	local_average_energy
3000	33.615722196	0.903244358806425	local_average_energy
3500	39.4561296945143	0.97435827565807	local_average_energy
4000	45.19123137945	1.05695940802672	local_average_energy
4500	51.1604403020889	1.12694852485857	local_average_energy
50	4.46458938947587e-13	3.06372599408913e-12	bp_prob
75	1.5352895275853e-11	7.33771608877321e-11	bp_prob
100	6.75388745951151e-10	5.23299298499369e-09	bp_prob
150	3.7948778640593e-07	6.35237965223464e-06	bp_prob
200	3.26055455043483e-05	0.000508179876546411	bp_prob
300	0.0105953403015643	0.0175258269099806	bp_prob
500	0.0638198394792901	0.00138470124399388	bp_prob
600	0.0553628558823382	0.00159784838969053	bp_prob
800	0.0475533587284132	0.0023854070977308	bp_prob
1000	0.0453274446995565	0.00267269202280661	bp_prob
1500	0.0448143550947311	0.00255343530911439	bp_prob
2000	0.044184949565411	0.00243221572453709	bp_prob
2500	0.0441346917733987	0.00227626611611233	bp_prob
3000	0.0438664136067906	0.00225228565926637	bp_prob
3500	0.0434700483031969	0.00209073588137354	bp_prob
4000	0.0435910916458335	0.00226483177674087	bp_prob
4500	0.0433281514073929	0.00205670677246746	bp_prob
